Synset,Labels,res_nrdirhypos,res_nrdirhypers,res_nrhypos,res_depthfromtopsynset,res_glosslength,res_nroflemmas,res_freq,res_polyscore_max,res_polyscore_sum,res_wordlength,res_minwordlength,res_nrpartrels,res_nrmiscrels,res_ngrams_all_mean,res_ngrams_last_mean,res_ngrams_all_max,res_ngrams_last_max
b'red_delicious.n.01',l,0,1,0,10,76,1,0,1,1.0,13.0,13,0,0,1.727158814079921e-06,5.0470136514491066e-08,1.727158814079921e-06,5.0470136514491066e-08
b'empire.n.05',l,0,1,0,9,94,1,0,5,5.0,6.0,6,0,0,0.0066079842777071,5.336447247827891e-05,0.0066079842777071,5.336447247827891e-05
b'granny_smith.n.01',l,0,1,0,9,43,1,0,1,1.0,12.0,12,0,0,2.3755972398675773e-06,1.3136039456185244e-07,2.3755972398675773e-06,1.3136039456185244e-07
b'grimes'_golden.n.01',l,0,1,0,9,50,1,0,1,1.0,14.0,14,0,0,0.0,0.0,0.0,0.0
b'jonathan.n.01',l,0,1,0,9,44,1,0,1,1.0,8.0,8,0,0,0.0016040289590364,2.423265959805576e-05,0.0016040289590364,2.423265959805576e-05
b'mcintosh.n.01',l,1,1,1,9,111,1,0,1,1.0,8.0,8,0,0,5.731334087055728e-05,1.2529081914181006e-06,5.731334087055728e-05,1.2529081914181006e-06
b'macoun.n.01',l,0,1,0,10,44,1,0,1,1.0,6.0,6,0,0,1.1132693139015435e-05,3.5073891346826265e-08,1.1132693139015435e-05,3.5073891346826265e-08
b'northern_spy.n.01',l,0,1,0,9,63,1,0,1,1.0,12.0,12,0,0,5.763595370966712e-06,3.4660179615286786e-08,5.763595370966712e-06,3.4660179615286786e-08
b'pearmain.n.01',l,0,1,0,9,49,1,0,1,1.0,8.0,8,0,0,1.0338154350808535e-05,4.964511113314529e-08,1.0338154350808535e-05,4.964511113314529e-08
b'pippin.n.01',l,1,1,1,9,91,1,0,1,1.0,6.0,6,0,0,9.630265907256684e-05,8.796770885055594e-07,9.630265907256684e-05,8.796770885055594e-07
b'cox's_orange_pippin.n.01',l,0,1,0,10,39,1,0,1,1.0,19.0,19,0,0,2.279226405887957e-06,1.8914070309961065e-08,2.279226405887957e-06,1.8914070309961065e-08
b'prima.n.01',l,0,1,0,9,31,1,0,2,2.0,5.0,5,0,0,0.0001286903547565,1.2485969591580217e-06,0.0001286903547565,1.2485969591580217e-06
b'stayman.n.01',l,0,1,0,9,44,1,0,1,1.0,7.0,7,0,0,4.716722893371994e-06,5.416480419739855e-08,4.716722893371994e-06,5.416480419739855e-08
b'stayman_winesap.n.01',l,0,1,0,9,62,1,0,1,1.0,15.0,15,0,0,1.6287880079679518e-06,9.135253442593694e-09,1.6287880079679518e-06,9.135253442593694e-09
b'winesap.n.01',l,0,1,0,9,30,1,0,1,1.0,7.0,7,0,0,7.388866404722805e-06,5.3119199705520266e-08,7.388866404722805e-06,5.3119199705520266e-08
b'apricot.n.02',b,0,1,0,7,59,1,0,3,3.0,7.0,7,1,0,0.0001201492708844,1.2998583542866982e-06,0.0001201492708844,1.2998583542866982e-06
b'avocado.n.01',b,0,1,0,7,110,4,15,3,1.5,10.25,7,1,0,1.2085215086138357e-05,3.34857180539494e-07,4.198661511400914e-05,1.2984622799194767e-06
b'banana.n.02',b,0,1,0,7,60,1,1,2,2.0,6.0,6,2,0,0.0003949685555966,6.361573014146416e-06,0.0003949685555966,6.361573014146416e-06
b'barbados_gooseberry.n.02',l,0,1,0,7,105,2,0,2,1.5,15.0,11,1,0,3.3949627217116924e-08,1.272220419290537e-10,6.789925443423385e-08,2.544440838581074e-10
b'berry.n.01',h,18,1,21,7,107,1,3,4,4.0,5.0,5,1,0,0.0003347495378989,2.776119572445168e-06,0.0003347495378989,2.776119572445168e-06
b'acerola.n.02',l,0,1,0,8,88,4,0,3,2.25,13.5,7,1,0,1.6075961231654112e-07,4.994871377617116e-09,4.841612195605194e-07,1.8777081667309403e-08
b'bilberry.n.03',l,0,1,0,8,50,3,0,3,2.0,12.666666666666666,8,1,0,7.887868698139289e-06,5.399985171979557e-08,1.2100667245995568e-05,1.1574844194228717e-07
b'blackberry.n.01',b,0,2,0,8,104,1,2,3,3.0,10.0,10,2,0,7.664943430008009e-05,9.948579702268034e-07,7.664943430008009e-05,9.948579702268034e-07
b'blueberry.n.02',l,0,1,0,8,85,1,0,2,2.0,9.0,9,2,0,3.776749967054904e-05,9.569778285367647e-07,3.776749967054904e-05,9.569778285367647e-07
b'boysenberry.n.02',l,0,1,0,8,74,1,0,2,2.0,11.0,11,1,0,8.479507153102972e-07,2.274888721842672e-08,8.479507153102972e-07,2.274888721842672e-08
b'cranberry.n.02',l,0,2,0,8,43,1,0,2,2.0,9.0,9,2,0,7.10548158764368e-05,1.1546962923603132e-06,7.10548158764368e-05,1.1546962923603132e-06
b'currant.n.01',l,3,1,3,8,76,1,1,3,3.0,7.0,7,0,0,0.0001494810952067,9.337463779957034e-07,0.0001494810952067,9.337463779957034e-07
b'black_currant.n.02',l,0,1,0,9,44,1,0,2,2.0,13.0,13,1,0,1.00261687645542e-05,9.737327388847917e-08,1.00261687645542e-05,9.737327388847917e-08
b'gooseberry.n.02',l,0,1,0,9,53,1,0,2,2.0,10.0,10,1,0,9.29504567039885e-05,5.928971660296156e-07,9.29504567039885e-05,5.928971660296156e-07
b'red_currant.n.02',l,0,1,0,9,52,1,0,2,2.0,11.0,11,1,0,6.965584617990572e-06,5.7252737661883664e-08,6.965584617990572e-06,5.7252737661883664e-08
b'dewberry.n.02',l,0,1,0,8,67,1,0,2,2.0,8.0,8,2,0,7.481010888543693e-06,5.33566684168818e-08,7.481010888543693e-06,5.33566684168818e-08
b'huckleberry.n.03',l,0,1,0,8,83,1,0,3,3.0,11.0,11,1,0,1.967261897961592e-05,2.3259305237388617e-07,1.967261897961592e-05,2.3259305237388617e-07
b'lingonberry.n.02',l,0,1,0,8,60,4,0,2,1.75,13.5,8,1,0,5.786558636214356e-07,9.707496952116036e-09,1.2337530143624598e-06,2.490800188326148e-08
b'loganberry.n.02',l,0,1,0,8,33,1,0,2,2.0,10.0,10,1,0,3.0516837766780824e-06,2.1966349628144144e-08,3.0516837766780824e-06,2.1966349628144144e-08
b'mulberry.n.02',l,0,1,0,8,99,1,0,2,2.0,8.0,8,1,0,0.0003400838892844,1.7204852156282868e-06,0.0003400838892844,1.7204852156282868e-06
b'persimmon.n.02',l,0,1,0,8,54,1,0,2,2.0,9.0,9,2,0,2.8824314085351688e-05,3.0775957782225305e-07,2.8824314085351688e-05,3.0775957782225305e-07
b'raspberry.n.02',b,0,2,0,8,83,1,0,3,3.0,9.0,9,2,0,0.0001227043073583,1.598082178588811e-06,0.0001227043073583,1.598082178588811e-06
b'saskatoon.n.02',l,0,1,0,8,28,4,0,2,1.75,9.75,9,1,0,1.0249202038355163e-06,1.5958757485640133e-08,2.620521468155168e-06,4.067552694664301e-08
b'strawberry.n.01',b,0,1,0,8,22,1,1,3,3.0,10.0,10,1,0,0.0002382714602333,3.267192710154632e-06,0.0002382714602333,3.267192710154632e-06
b'sugarberry.n.02',l,0,1,0,8,79,2,0,2,2.0,9.5,9,0,0,6.969623835964556e-06,5.903262545459143e-08,1.3435332027134096e-05,1.1457219883936889e-07
b'wintergreen.n.03',l,0,1,0,8,52,5,0,3,2.2,9.8,8,1,0,4.9242786464814834e-06,4.155537293160095e-08,2.199701304772539e-05,1.770809845424992e-07
b'breadfruit.n.02',b,0,1,0,7,157,1,0,2,2.0,10.0,10,1,0,4.457859122020125e-05,3.961466035207195e-07,4.457859122020125e-05,3.961466035207195e-07
b'canistel.n.02',b,0,1,0,7,64,2,0,2,1.5,8.0,8,1,0,1.1352905186085005e-07,1.967964693982971e-09,1.2297167473196424e-07,2.332160686790985e-09
b'carambola.n.02',b,0,1,0,7,110,2,0,2,1.5,9.5,9,1,0,1.325345423852653e-06,3.5127652786570707e-08,2.218040090151696e-06,3.5595411063127365e-08
b'carissa_plum.n.01',b,0,1,0,7,54,2,0,3,2.0,11.0,10,1,0,2.819184771046812e-08,2.351735195471605e-10,5.638369542093624e-08,4.70347039094321e-10
b'ceriman.n.02',b,0,1,0,7,77,2,0,2,2.0,7.5,7,1,0,2.594041304815331e-07,2.953555275353459e-09,3.803436816052219e-07,4.952090737475601e-09
b'cherry.n.03',b,3,2,8,7,36,1,0,5,5.0,6.0,6,1,0,0.0006150342131832,6.553035063916468e-06,0.0006150342131832,6.553035063916468e-06
b'capulin.n.02',l,0,1,0,8,20,2,0,2,1.5,13.5,7,1,0,2.1929800364528523e-07,9.50394374310548e-10,4.3859600729057046e-07,1.900788748621096e-09
b'sour_cherry.n.03',l,2,1,2,8,41,1,0,3,3.0,11.0,11,0,0,3.331588559363219e-06,4.276427567617702e-08,3.331588559363219e-06,4.276427567617702e-08
b'amarelle.n.02',l,0,1,0,9,61,1,0,2,2.0,8.0,8,1,0,3.4796855900159906e-08,2.3644225119467954e-10,3.4796855900159906e-08,2.3644225119467954e-10
b'morello.n.02',l,0,1,0,9,55,1,0,2,2.0,7.0,7,2,0,1.70054565451494e-06,1.309152608541808e-08,1.70054565451494e-06,1.309152608541808e-08
b'sweet_cherry.n.02',l,2,1,3,8,70,2,0,2,2.0,12.0,12,1,0,7.097133972427949e-06,8.185638922242333e-08,1.0363174279159892e-05,1.0652282611545161e-07
b'bing_cherry.n.01',l,0,1,0,9,33,1,0,1,1.0,11.0,11,0,0,4.346224811990762e-08,1.2435599772153694e-09,4.346224811990762e-08,1.2435599772153694e-09
b'heart_cherry.n.02',l,1,1,1,9,47,3,0,2,2.0,11.0,7,0,0,3.468376325634533e-07,2.2204369176659355e-09,7.764399615334261e-07,4.8250478057454416e-09
b'blackheart.n.02',l,0,1,0,10,44,2,0,2,1.5,13.5,10,0,0,8.258214213817394e-07,4.290784623439681e-09,1.520011354894102e-06,8.424950515006913e-09
b'citrus.n.01',h,9,1,19,7,98,3,1,2,1.3333333333333333,10.333333333333334,6,2,0,8.82378737425323e-05,1.067969082030329e-06,0.0002375943178283,2.9601638971143984e-06
b'citrange.n.02',l,0,1,0,8,76,1,0,2,2.0,8.0,8,1,0,8.599266578257492e-07,1.1285267831340208e-08,8.599266578257492e-07,1.1285267831340208e-08
b'citron.n.01',b,0,1,0,8,65,1,1,2,2.0,6.0,6,1,0,9.768106743024418e-05,4.765336427681177e-07,9.768106743024418e-05,4.765336427681177e-07
b'grapefruit.n.02',b,0,1,0,8,82,1,0,2,2.0,10.0,10,2,0,8.423976688798351e-05,1.3819970945405655e-06,8.423976688798351e-05,1.3819970945405655e-06
b'kumquat.n.02',b,0,1,0,8,63,1,0,2,2.0,7.0,7,1,0,2.781881320190749e-06,4.973692568910337e-08,2.781881320190749e-06,4.973692568910337e-08
b'lemon.n.01',b,0,1,0,8,41,1,4,5,5.0,5.0,5,2,0,0.0007868661523389,1.1114057997474449e-05,0.0007868661523389,1.1114057997474449e-05
b'lime.n.06',b,1,1,1,8,51,1,0,8,8.0,4.0,4,1,0,0.0045993617695785,1.633736701478483e-05,0.0045993617695785,1.633736701478483e-05
b'key_lime.n.01',l,0,1,0,9,44,1,0,1,1.0,8.0,8,0,0,6.716895175895576e-07,5.3208262684734116e-08,6.716895175895576e-07,5.3208262684734116e-08
b'mandarin.n.05',b,3,1,3,8,60,2,0,6,4.0,11.5,8,1,0,7.619766692384955e-05,5.452375875236726e-07,0.0001500806163008,1.048250965141051e-06
b'clementine.n.02',l,0,1,0,9,62,1,0,2,2.0,10.0,10,0,0,2.785349708239737e-07,2.3766739687403063e-08,2.785349708239737e-07,2.3766739687403063e-08
b'satsuma.n.02',l,0,1,0,9,67,1,0,2,2.0,7.0,7,1,0,1.1145977607540658e-06,2.98031288537004e-08,1.1145977607540658e-06,2.98031288537004e-08
b'tangerine.n.02',l,0,1,0,9,83,1,0,4,4.0,9.0,9,1,0,1.3610315386158868e-05,3.234770957760702e-07,1.3610315386158868e-05,3.234770957760702e-07
b'orange.n.01',b,3,1,6,8,59,1,4,6,6.0,6.0,6,2,0,0.0025712268607094,2.869501076929737e-05,0.0025712268607094,2.869501076929737e-05
b'bitter_orange.n.02',l,0,1,0,9,49,3,0,2,2.0,12.666666666666666,11,1,0,5.077291303501319e-06,4.77825992106773e-08,5.580225737711331e-06,7.052119599393336e-08
b'sweet_orange.n.01',l,3,1,3,9,51,1,1,2,2.0,12.0,12,1,0,1.0672363110808549e-05,9.732337957757409e-08,1.0672363110808549e-05,9.732337957757409e-08
b'jaffa_orange.n.01',l,0,1,0,10,38,1,0,1,1.0,12.0,12,0,0,4.09541554058368e-07,3.3981718550180062e-09,4.09541554058368e-07,3.3981718550180062e-09
b'navel_orange.n.01',l,0,1,0,10,61,1,0,1,1.0,12.0,12,0,0,2.7217197453577317e-06,3.4525221792591765e-08,2.7217197453577317e-06,3.4525221792591765e-08
b'valencia_orange.n.01',l,0,1,0,10,72,1,0,1,1.0,15.0,15,0,0,1.5449415068369277e-06,1.4486987165440725e-08,1.5449415068369277e-06,1.4486987165440725e-08
b'temple_orange.n.02',l,0,1,0,9,61,1,0,2,2.0,13.0,13,1,0,2.5123130992232845e-08,4.5997548825393853e-10,2.5123130992232845e-08,4.5997548825393853e-10
b'pomelo.n.02',b,0,1,0,8,70,2,0,2,2.0,7.0,6,1,0,6.159029626640056e-06,4.2978244074731726e-08,8.736591580849051e-06,5.1964176961405435e-08
b'cling.n.01',h,0,1,0,7,64,2,0,4,2.5,7.5,5,0,0,0.0003801082448718,3.4687851191428365e-06,0.0007570176276772,6.90505748934811e-06
b'cocoa_plum.n.02',b,0,1,0,7,79,3,0,2,2.0,8.0,5,1,0,3.4079231662810977e-07,2.8856177493781963e-09,8.547050906471121e-07,6.874762981112781e-09
b'custard_apple.n.02',b,6,1,6,7,95,1,0,2,2.0,13.0,13,1,0,4.531606818458656e-06,4.2287975787758114e-08,4.531606818458656e-06,4.2287975787758114e-08
b'bullock's_heart.n.02',l,0,1,0,8,53,2,0,2,1.5,14.0,13,1,0,8.345527093833738e-07,4.986441370924409e-09,1.6691054187667476e-06,9.972882741848821e-09
b'cherimoya.n.02',l,0,1,0,8,80,2,0,2,1.5,9.5,9,1,0,8.593945605428477e-07,1.1290855361778542e-08,1.7187891210856954e-06,2.2581710723557084e-08
b'ilama.n.02',l,0,1,0,8,106,1,0,2,2.0,5.0,5,1,0,1.938637943926791e-07,2.3714186239698343e-09,1.938637943926791e-07,2.3714186239698343e-09
b'pond_apple.n.02',l,0,1,0,8,84,1,0,2,2.0,10.0,10,1,0,1.380193106331751e-07,3.906078460680362e-09,1.380193106331751e-07,3.906078460680362e-09
b'soursop.n.02',l,0,1,0,8,67,2,0,2,1.5,8.0,7,1,0,1.497002834860428e-06,1.9014486207780124e-08,2.169533873885854e-06,2.947948463116745e-08
b'sweetsop.n.02',l,0,1,0,8,70,3,0,2,1.3333333333333333,8.0,5,1,0,1.8528176326896664e-06,8.904814367364603e-09,4.617693371122833e-06,9.780771303979918e-09
b'date.n.08',b,0,1,0,7,65,1,0,13,13.0,4.0,4,1,0,0.0167357586287835,0.000164150391356,0.0167357586287835,0.000164150391356
b'dried_fruit.n.01',h,3,1,6,7,25,1,0,1,1.0,11.0,11,0,0,3.575966711366618e-05,5.393188473590271e-07,3.575966711366618e-05,5.393188473590271e-07
b'dried_apricot.n.01',b,0,1,0,8,28,1,0,1,1.0,13.0,13,0,0,6.55067365906703e-07,1.617517941809865e-08,6.55067365906703e-07,1.617517941809865e-08
b'prune.n.01',b,0,1,0,8,10,1,0,3,3.0,5.0,5,0,0,0.0001368173810192,1.3790536854685342e-06,0.0001368173810192,1.3790536854685342e-06
b'raisin.n.01',b,3,1,3,8,11,1,0,1,1.0,6.0,6,0,0,5.787266289303261e-05,7.985346712757746e-07,5.787266289303261e-05,7.985346712757746e-07
b'currant.n.03',l,0,1,0,9,93,1,0,3,3.0,7.0,7,0,0,0.0001494810952067,9.337463779957034e-07,0.0001494810952067,9.337463779957034e-07
b'seeded_raisin.n.01',l,0,1,0,9,32,1,0,1,1.0,13.0,13,0,0,4.5684302452109193e-08,4.5997548825393853e-10,4.5684302452109193e-08,4.5997548825393853e-10
b'seedless_raisin.n.01',l,0,1,0,9,20,2,0,2,1.5,11.0,7,0,0,1.5604681211658922e-05,8.044470321821874e-08,3.105424956473257e-05,1.604096695473345e-07
b'durian.n.02',b,0,1,0,7,122,1,0,2,2.0,6.0,6,1,0,9.12992006407709e-06,1.7976882560333254e-07,9.12992006407709e-06,1.7976882560333254e-07
b'elderberry.n.02',b,0,2,0,7,59,1,0,2,2.0,10.0,10,1,0,1.2050560530774136e-05,1.8531302714563933e-07,1.2050560530774136e-05,1.8531302714563933e-07
b'feijoa.n.02',b,0,1,0,7,93,2,0,2,1.5,10.5,6,1,0,2.5836699375086924e-07,6.269422481164355e-09,4.09923277128188e-07,9.513194676458172e-09
b'fig.n.04',b,0,1,0,7,93,1,0,4,4.0,3.0,3,1,0,0.0041142987774946,1.5989551684469916e-05,0.0041142987774946,1.5989551684469916e-05
b'freestone.n.01',h,0,1,0,7,63,1,0,1,1.0,9.0,9,0,0,0.0001262841367655,3.2141552708253585e-07,0.0001262841367655,3.2141552708253585e-07
b'garambulla.n.02',l,0,1,0,7,21,1,0,2,2.0,10.0,10,1,0,0.0,0.0,0.0,0.0
b'genip.n.02',b,0,1,0,7,107,2,0,2,2.0,8.5,5,1,0,2.624085388217013e-07,5.1740746548345484e-09,4.2119899976156283e-07,9.251818200439745e-09
b'genipap.n.01',b,0,1,0,7,57,2,0,2,1.5,10.0,7,1,0,1.4742467275945248e-07,1.665980386630905e-09,2.889558511354196e-07,3.165461337495401e-09
b'grape.n.01',b,3,1,14,7,90,1,2,3,3.0,5.0,5,2,0,0.0009296943717345,6.954298441996798e-06,0.0009296943717345,6.954298441996798e-06
b'muscadine.n.02',l,1,1,1,8,43,2,0,2,1.5,11.0,9,1,0,4.434144524001482e-06,3.5221390248807445e-08,8.868289048002964e-06,7.044278049761489e-08
b'scuppernong.n.01',l,0,1,0,9,57,1,0,1,1.0,11.0,11,0,0,1.8848883435174104e-06,1.9571356979497523e-08,1.8848883435174104e-06,1.9571356979497523e-08
b'slipskin_grape.n.01',l,1,1,3,8,46,1,0,1,1.0,14.0,14,0,0,0.0,0.0,0.0,0.0
b'fox_grape.n.02',l,2,1,2,9,133,1,0,2,2.0,9.0,9,1,0,1.415640192847789e-06,7.144686842153192e-09,1.415640192847789e-06,7.144686842153192e-09
b'catawba.n.02',l,0,1,0,10,46,1,0,3,3.0,7.0,7,0,0,7.994262895749671e-05,5.746223905589432e-07,7.994262895749671e-05,5.746223905589432e-07
b'concord_grape.n.01',l,0,1,0,10,70,1,0,1,1.0,13.0,13,0,0,2.018362255551409e-06,2.450260527808723e-08,2.018362255551409e-06,2.450260527808723e-08
b'vinifera_grape.n.02',l,6,1,7,8,66,1,0,2,2.0,14.0,14,1,0,2.0805595540851485e-07,3.397681136441122e-09,2.0805595540851485e-07,3.397681136441122e-09
b'emperor.n.02',l,0,1,0,9,29,1,0,4,4.0,7.0,7,0,0,0.0070427014525193,2.699060496524908e-05,0.0070427014525193,2.699060496524908e-05
b'muscat.n.04',l,0,1,0,9,46,3,0,4,2.333333333333333,8.666666666666666,6,1,0,4.242091953330733e-06,3.181565533250108e-08,6.705912507287692e-06,4.8333953728274543e-08
b'ribier.n.01',l,0,1,0,9,45,1,0,1,1.0,6.0,6,0,0,0.0,0.0,0.0,0.0
b'sultana.n.01',l,0,1,0,9,52,1,0,2,2.0,7.0,7,0,0,3.105424956473257e-05,1.604096695473345e-07,3.105424956473257e-05,1.604096695473345e-07
b'thompson_seedless.n.01',l,0,1,0,9,40,1,0,1,1.0,17.0,17,0,0,2.171138347328849e-06,1.4258195069061232e-08,2.171138347328849e-06,1.4258195069061232e-08
b'tokay.n.02',l,1,1,1,9,83,1,0,2,2.0,5.0,5,1,0,3.759943257719556e-05,1.7742754465643887e-07,3.759943257719556e-05,1.7742754465643887e-07
b'flame_tokay.n.01',l,0,1,0,10,24,1,0,1,1.0,11.0,11,0,0,0.0,0.0,0.0,0.0
b'guava.n.03',b,0,1,0,7,85,1,0,3,3.0,5.0,5,1,0,3.572153283037949e-05,4.930185468765558e-07,3.572153283037949e-05,4.930185468765558e-07
b'hog_plum.n.03',l,0,1,0,7,48,2,0,4,3.0,8.5,8,1,0,5.352187841506373e-06,3.802300174715612e-08,1.0125253275372614e-05,7.017108316631494e-08
b'hog_plum.n.04',b,0,1,0,7,26,2,0,4,3.0,10.5,8,1,0,3.148565310348572e-07,3.5785107099783886e-09,5.791224076401313e-07,5.8749203279973025e-09
b'jaboticaba.n.02',b,0,1,0,7,61,1,0,2,2.0,10.0,10,1,0,3.587465335214146e-07,3.6257129520933518e-09,3.587465335214146e-07,3.6257129520933518e-09
b'jackfruit.n.02',b,0,1,0,7,122,3,0,14,5.666666666666667,5.333333333333333,3,1,0,0.0001781839354273,1.812809790872431e-06,0.0005204280331554,5.210089057072764e-06
b'jujube.n.02',b,0,2,0,7,52,3,0,3,1.6666666666666667,10.666666666666666,6,1,0,3.559768609495695e-06,3.337135671503214e-08,9.407011547502007e-06,9.134243939001865e-08
b'kai_apple.n.01',b,0,1,0,7,86,1,0,1,1.0,9.0,9,1,0,0.0,0.0,0.0,0.0
b'ketembilla.n.02',b,0,1,0,7,104,3,0,2,2.0,10.0,10,1,0,0.0,0.0,0.0,0.0
b'kiwi.n.03',b,0,1,0,7,59,3,0,4,2.333333333333333,10.666666666666666,4,1,0,4.854247410951418e-06,1.413832789361654e-07,1.2775468228864996e-05,3.5477683013596106e-07
b'lanseh.n.01',b,0,1,0,7,39,4,0,1,1.0,5.75,5,1,0,1.45547929962693e-07,8.758575470793616e-10,3.815097980586213e-07,2.239884944188475e-09
b'litchi.n.02',b,0,1,0,7,105,7,0,2,1.2857142857142858,6.714285714285714,5,1,0,1.337826988326098e-06,2.7940333510128356e-08,3.969892316213475e-06,8.822140884490183e-08
b'longanberry.n.02',b,0,1,0,7,29,2,0,2,1.5,11.5,11,1,0,3.129448646194133e-07,4.4907115803738415e-09,6.258897292388266e-07,8.981423160747681e-09
b'loquat.n.02',b,0,1,0,7,107,2,0,3,2.5,9.5,6,1,0,3.110489586385934e-06,4.0761141573142374e-08,4.920864264623681e-06,5.343720843598022e-08
b'mamey.n.02',b,0,1,0,7,98,3,0,4,2.6666666666666665,7.666666666666667,5,1,0,1.590521975079288e-06,1.2385023266207421e-08,2.340017566937469e-06,2.385788810954637e-08
b'mango.n.02',b,0,1,0,7,89,1,0,2,2.0,5.0,5,1,0,0.0001465672986853,2.3231514205690478e-06,0.0001465672986853,2.3231514205690478e-06
b'mangosteen.n.02',b,0,1,0,7,92,1,0,2,2.0,10.0,10,1,0,6.250844487354357e-06,6.1938518314264e-08,6.250844487354357e-06,6.1938518314264e-08
b'marang.n.02',b,0,1,0,7,96,1,0,2,2.0,6.0,6,1,0,5.473332124195096e-07,8.665338002700196e-09,5.473332124195096e-07,8.665338002700196e-09
b'medlar.n.03',b,0,1,0,7,97,1,0,4,4.0,6.0,6,1,0,1.2663667853018978e-05,7.07447735948108e-08,1.2663667853018978e-05,7.07447735948108e-08
b'medlar.n.04',b,0,1,0,7,39,1,0,4,4.0,6.0,6,1,0,1.2663667853018978e-05,7.07447735948108e-08,1.2663667853018978e-05,7.07447735948108e-08
b'melon.n.01',b,3,1,9,7,83,1,2,2,2.0,5.0,5,1,0,0.0001871646691142,1.973940470634261e-06,0.0001871646691142,1.973940470634261e-06
b'melon_ball.n.01',l,0,1,0,8,31,1,0,1,1.0,10.0,10,0,0,1.7705318658411964e-07,4.572566991711824e-09,1.7705318658411964e-07,4.572566991711824e-09
b'muskmelon.n.02',l,3,1,6,8,79,2,0,2,2.0,10.0,9,1,0,3.648093681959952e-06,3.1797031341262993e-08,6.900627470884935e-06,5.5505736895611335e-08
b'cantaloup.n.02',l,0,1,0,9,79,2,0,2,2.0,9.5,9,1,0,8.977514282942911e-06,1.992495798908145e-07,1.6578509570930322e-05,3.950274276576238e-07
b'net_melon.n.02',l,0,1,0,9,92,3,0,2,2.0,11.0,9,1,0,5.7037199692466796e-08,9.782534967269403e-11,1.1891624689119863e-07,1.4673802450904103e-10
b'winter_melon.n.02',l,3,1,3,9,97,1,0,2,2.0,12.0,12,1,0,5.156804556982753e-07,1.814598427074543e-08,5.156804556982753e-07,1.814598427074543e-08
b'casaba.n.01',l,0,1,0,10,45,2,0,1,1.0,9.0,6,0,0,4.624720239543301e-07,6.2145107948552444e-09,7.884230563415251e-07,1.0029846286840892e-08
b'honeydew.n.01',l,0,1,0,10,102,2,0,2,1.5,11.0,8,0,0,9.847763553866296e-06,1.67521584160113e-07,1.837578807062368e-05,2.990085903320505e-07
